What is the time complexity of Linear Search in the worst case?,$O(n)$
"In Linear Search, if an array has 1000 elements, what is the maximum number of comparisons required?",1000
Binary Search can only be applied to a _____ function.,monotonic
What is the most common example of a monotonic function in the context of Binary Search?,A sorted array (increasing or decreasing order).
What is the first step in the Binary Search algorithm after defining the search range?,Find the middle element of the current range.
"In Binary Search, if the target 'key' is equal to the middle element, what value is typically returned?",The index of the middle element.
"If the target 'key' is greater than the middle element in an ascending sorted array, which part of the array is searched next?",The right part (elements after the middle element).
"If the target 'key' is smaller than the middle element in an ascending sorted array, which part of the array is searched next?",The left part (elements before the middle element).
What is the standard formula used to calculate the middle index ($mid$) using start ($s$) and end ($e$)?,$mid = \frac{s + e}{2}$
Why might the formula $mid = \frac{s + e}{2}$ cause an error in programming for very large arrays?,The sum of $s$ and $e$ might exceed the maximum limit of an integer (integer overflow).
What is the optimized formula for calculating the middle index ($mid$) to avoid integer overflow?,$s + \frac{e - s}{2}$
"In the Binary Search loop, what is the condition required for the loop to continue executing?",$start \le end$
"If the key is greater than the middle element, how is the 'start' index updated for the next iteration?",$start = mid + 1$
"If the key is smaller than the middle element, how is the 'end' index updated for the next iteration?",$end = mid - 1$
What is the time complexity of Binary Search?,$O(\log n)$
Approximately how many comparisons would Binary Search take for an array of 1000 elements?,10
"In the derivation of Binary Search complexity, if the array size $n$ is divided by 2 repeatedly $k$ times until it reaches 1, what is the value of $n$ in terms of $k$?",$n = 2^k$
"In the equation $n = 2^k$, what is the value of $k$?",$\log_2 n$
"If Binary Search finishes the loop without finding the key, what value does the function typically return to indicate failure?",$-1$
"When searching for the number 12 in the sorted array $[2, 4, 6, 8, 12, 18]$, what is the initial 'mid' index if the array starts at 0?",2 (Value: 6)
Concept: Monotonic function,Definition: A function that is either entirely non-increasing or entirely non-decreasing.
True or False: Binary Search is always faster than Linear Search regardless of array size.,False (Linear search can be faster for very small arrays or if the element is at the very beginning).
What happens to the search space in each iteration of Binary Search?,It is reduced by half.
